Year,Winner,Runner up,Wins,Country
1930,URY,ARG,1,Uruguay
1934,ITA,CSK,1,Italy
1938,ITA,HUN,2,Italy
1950,URY,BRA,2,Uruguay
1954,DEU,HUN,1,Germany
1958,BRA,SWE,1,Brazil
1962,BRA,CSK,2,Brazil
1966,GBR,DEU,1,England
1970,BRA,ITA,3,Brazil
1974,DEU,NLD,2,Germany
1978,ARG,NLD,1,Argentina
1982,ITA,DEU,3,Italy
1986,ARG,DEU,2,Argentina
1990,DEU,ARG,3,Germany
1994,BRA,ITA,4,Brazil
1998,FRA,BRA,1,France
2002,BRA,DEU,5,Brazil
2006,ITA,FRA,4,Italy
2010,ESP,NLD,1,Spain
2014,DEU,ARG,4,Germany
2018,FRA,HRV,2,France
2022,ARG,FRA,3,Argentina
